identifier,creator,title,publisher,date,bibliographicCitation,description
junkie-1,William S. Burroughs,Junkie,"New York: Ace Books, Inc.",1953,"schottlaender/4.0/A1a, maynard-and-miles/A1a",First. Not as much yellowing as is typical.
junkie-2,William S. Burroughs,Junkie,"New York: Ace Books, Inc.",1953,"schottlaender/4.0/A1a, maynard-and-miles/A1a","First. Signed by Burroughs, dated ""Nov. 6, 1985"". Yellowing and fragile, bookseller's sticker on inside front cover."
junkie-3,William S. Burroughs,Junkie,London: Digit Books,1957,"schottlaender/4.0/A1b, maynard-and-miles/A1b",First English. In custom clamshell case.
british-journal-of-addiction-5-1,William S. Burroughs,British Journal of Addiction 53(2),,1957-01,"schottlaender/4.0/C3, maynard-and-miles/C1b","Offprint of Burroughs' article ""Letter From A Master Addict To Dangerous Drugs."" Limited to 50 copies. Signed by Burroughs, inscribed to Nelson Lyon ""For Nelson, William S. Burroughs October 20, 1992."" With postmarked envelope with William Burroughs Communications return address."
chicago-review-12-3-1,William S. Burroughs,Chicago Review 12(3),,1958,"schottlaender/4.0/C5, maynard-and-miles/C5",Soiled and worn on the spine.
the-naked-lunch-1,William S. Burroughs,The Naked Lunch,Paris: The Olympia Press,1959,"schottlaender/4.0/A2a, maynard-and-miles/A2a",First. Signed by Burroughs. With slight chipping and tearing on dust jacket spine.
big-table-1-1,William S. Burroughs,Big Table 1,,1959,"schottlaender/4.0/C7, maynard-and-miles/C6",
big-table-2-1,William S. Burroughs,Big Table 2,,1959,"schottlaender/4.0/C8, maynard-and-miles/C7",
new-departures-1-1,William S. Burroughs,New Departures 1,,1959,"schottlaender/4.0/C11, maynard-and-miles/C8","Signed by Burroughs at second entry ""2: Coke Bugs."" "
the-exterminator-1,William S. Burroughs,The Exterminator,San Francisco: The Auerhahn Press,1960,"schottlaender/4.0/A3a, maynard-and-miles/A4a",First. Yellowing on edges.
the-exterminator-2,William S. Burroughs,The Exterminator,San Francisco: The Auerhahn Press,1960,"schottlaender/4.0/A3a, maynard-and-miles/A4a",First. Little yellowing.
minutes-to-go-1,William S. Burroughs,Minutes To Go,Paris: Two Cities Editions,1960,"schottlaender/4.0/A4a, maynard-and-miles/A3a",First. Slightly soiled wrappers with wear on spine.
big-table-4-1,William S. Burroughs,Big Table 4,,1960,"schottlaender/4.0/C14, maynard-and-miles/C16",
the-soft-machine-1,William S. Burroughs,The Soft Machine,Paris: The Olympia Press,1961,"schottlaender/4.0/A5a, maynard-and-miles/A5a",First.
the-floating-bear-5-1,William S. Burroughs,The Floating Bear 5,,1961,"schottlaender/4.0/C24, maynard-and-miles/C31, maynard-and-miles/C32",
the-outsider-1-1,William S. Burroughs,The Outsider 1,,1961,"schottlaender/4.0/C33, maynard-and-miles/C35",
rhinozeros-5-1,William S. Burroughs,Rhinozeros 5,,1961,"schottlaender/4.0/C34, maynard-and-miles/C38",
naked-lunch-1,William S. Burroughs,Naked Lunch,"New York: Grove Press, Inc.",1962,"schottlaender/4.0/A2b, maynard-and-miles/A2b",First American.
from-naked-lunch-1,William S. Burroughs,From Naked Lunch,"New York: Grove Press, Inc.",1962,"schottlaender/4.0/A2b1, maynard-and-miles/F7","Pre-publication brochure for Naked Lunch Grove Press edition. Signed and dated ""12/18/87"" by Burroughs."
the-ticket-that-exploded-1,William S. Burroughs,The Ticket That Exploded,Paris: The Olympia Press,1962,"schottlaender/4.0/A6a, maynard-and-miles/A6a",First.
the-ticket-that-exploded-2,William S. Burroughs,The Ticket That Exploded,Paris: The Olympia Press,1962,"schottlaender/4.0/A6a, maynard-and-miles/A6a","First. Signed by Burroughs, inscribed ""For Ralph"", without dust jacket."
the-ticket-that-exploded-3,William S. Burroughs,The Ticket That Exploded,Paris: The Olympia Press,1962,"schottlaender/4.0/A6a, maynard-and-miles/A6a",First. Signed by Burroughs. With slight yellowing on dust jacket.
rhinozeros-6-1,William S. Burroughs,Rhinozeros 6,,1962,"schottlaender/4.0/C44, maynard-and-miles/C43",
rhinozeros-7-1,William S. Burroughs,Rhinozeros 7,,1962,"schottlaender/4.0/C45, maynard-and-miles/C45",
takis-1,William S. Burroughs,Takis,,1962,"schottlaender/4.0/G89, maynard-and-miles/F5",
evergreen-review-6-22-1,William S. Burroughs,Evergreen Review 6(22),,1962-01,"schottlaender/4.0/C38, maynard-and-miles/C39",
dead-fingers-talk-1,William S. Burroughs,Dead Fingers Talk,London: John Calder,1963,"schottlaender/4.0/A7a, maynard-and-miles/A7a",First.
the-yage-letters-1,"William S. Burroughs, Allen Ginsberg",The Yage Letters,San Francisco: City Lights Books,1963,"schottlaender/4.0/A8a, maynard-and-miles/A8a",First.
lsd-the-consciousness-expandi-1,David Solomon,LSD: The Consciousness-Expanding Drug,New York: Putnam,1964,maynard-and-miles/B15a,"First. Personal copy of Owsley Stanley, signed by Stanley."
junkie-4,William S. Burroughs,Junkie,"New York, NY: Ace Books",1964,"schottlaender/4.0/A1c, maynard-and-miles/A1c","First American, first state."
junkie-5,William S. Burroughs,Junkie,"New York, NY: Ace Books",1964,"schottlaender/4.0/A1c, maynard-and-miles/A1c","First American, second state."
the-naked-lunch-2,William S. Burroughs,The Naked Lunch,London: John Calder,1964,"schottlaender/4.0/A2d, maynard-and-miles/A2c",First English.
the-naked-lunch-3,William S. Burroughs,The Naked Lunch,London: John Calder,1964,"schottlaender/4.0/A2d, maynard-and-miles/A2c","First English. An advance copy in the form of unbound signatures, uncut. Fingermarks, slightly soiled."
the-coldspring-news-1,William S. Burroughs,The Coldspring News,"Flint, MI: Fenian Head Centre Press",1964,"schottlaender/4.0/A9, maynard-and-miles/C124c","First. Per Brewer's Books: ""This is one of the separately issued copies with no fold creases. Newsprint very tanned penciled price in upper right hand corner as it was sold in some bookstores in the '60's for ten cents each. ... No copyright at lower edge which according to Maynard and Miles (C124c) means it is a 'later state' ..."""
nova-express-1,William S. Burroughs,Nova Express,"New York: Grove Press, Inc.",1964,"schottlaender/4.0/A10a, maynard-and-miles/A10a",First. Tear on spine of dust jacket.
nova-express-2,William S. Burroughs,Nova Express,"New York: Grove Press, Inc.",1964,"schottlaender/4.0/A10a, maynard-and-miles/A10a","First. Signed by Burroughs, inscribed ""For Gerald Holsinger with all best wishes William S. Burroughs July 27, 1965 New York""."
pry-yourself-loose-and-listen-1,William S. Burroughs,Pry Yourself Loose And Listen,"Tangier, Morocco: Ira Cohen",1964,schottlaender/4.0/A11,First. In wrappers.
roosevelt-after-inauguration-1,William S. Burroughs,Roosevelt After Inauguration,New York: Fuck You Press,1964,"schottlaender/4.0/A12, maynard-and-miles/A9a",First.
roosevelt-after-inauguration-2,William S. Burroughs,Roosevelt After Inauguration,New York: Fuck You Press,1964,"schottlaender/4.0/A12, maynard-and-miles/A9a","First. Signed by Burroughs and Allen Ginsberg, dated ""1978"" by Ginsberg."
arcade-1-1,William S. Burroughs,Arcade 1,,1964,"schottlaender/4.0/C65, maynard-and-miles/C84, maynard-and-miles/C85, maynard-and-miles/C86",First state.
my-own-mag-9-1,William S. Burroughs,My Own Mag 9,,1964-11-01,"schottlaender/4.0/C89, maynard-and-miles/C101",
darazt-1,"William S. Burroughs, Barry Miles, Lee Harwood, John Hopkins",Darazt,London: Lovebooks Limited,1965,,"Per Brian Cassidy: ""Small narrow 4to. Printed French-fold wraps. [24]pp. VG+ with some rubbing, soil to wrappers. One of 500 numbered copies, this #99. INSCRIBED to title page: ""For Philip Kaplan / all the best / William S. Burroughs."" Issued as a companion to Lee Harwood's magazone TZARAD (Maynard & Miles B16). Includes Burroughs' ""Who Is the Walks beside You Written 3rd?"" Other contributors: Miles, Lee Harwood, and John Hopkins."""
